# Locale,  Region, Date,         Description,               Type, Notes.
  "en-AU", "VIC",  "2012-04-07", "Easter Saturday",         "RV", ""
  "en-AU", "NT",   "2012-04-07", "Easter Saturday",         "RV", ""
  "en-AU", "",     "2012-04-09", "Easter Monday",           "NRV", ""
  "en-AU", "QL",   "2012-04-25", "Anzac Day",               "V",  ""
  "en-AU", "SA",   "2012-04-25", "Anzac Day",               "V",  ""
  "en-AU", "NSW",  "2012-04-25", "Anzac Day",               "V",  ""
  "en-AU", "WA",   "2012-04-25", "Anzac Day",               "V",  ""
  "en-AU", "VIC",  "2012-04-25", "Anzac Day",               "V",  ""
  "en-AU", "TAS",  "2012-04-25", "Anzac Day",               "V",  ""
  "en-AU", "NT",   "2012-04-25", "Anzac Day",               "V",  ""
  "en-AU", "ACT",  "2012-04-25", "Anzac Day",               "V",  ""
  "en-AU", "QL",   "2012-05-07", "Labour Day",              "V",  ""
  "en-AU", "NT",   "2012-05-07", "May Day",                 "V",  ""
  "en-AU", "WA",   "2012-06-04", "Foundation Day",          "V",  ""
  "en-AU", "QL",   "2012-06-11", "Queen's Birthday",        "V",  ""
  "en-AU", "SA",   "2012-06-11", "Queen's Birthday",        "V",  ""
  "en-AU", "NSW",  "2012-06-11", "Queen's Birthday",        "V",  ""
  "en-AU", "VIC",  "2012-06-11", "Queen's Birthday",        "V",  ""
  "en-AU", "TAS",  "2012-06-11", "Queen's Birthday",        "V",  ""
  "en-AU", "NT",   "2012-06-11", "Queen's Birthday",        "V",  ""
  "en-AU", "ACT",  "2012-06-11", "Queen's Birthday",        "V",  ""
  "en-AU", "NT",   "2012-08-06", "Picnic Day",              "V",  ""
  "en-AU", "NSW",  "2012-08-06", "Bank Holiday",            "V",  ""
  "en-AU", "WA",   "2012-10-01", "Queen's Birthday",        "V",  ""
  "en-AU", "SA",   "2012-10-01", "Labour Day",              "V",  ""
  "en-AU", "NSW",  "2012-10-01", "Labour Day",              "V",  ""
  "en-AU", "ACT",  "2012-10-01", "Labour Day",              "V",  ""
  "en-AU", "TAS",  "2012-11-05", "Recreation Day",          "V",  ""
  "en-AU", "",     "2012-12-25", "Christmas Day",           "NRF", ""
  "en-AU", "QL",   "2012-12-26", "Boxing Day",              "F",  ""
  "en-AU", "SA",   "2012-12-26", "Proclamation Day",        "F",  ""
  "en-AU", "NSW",  "2012-12-26", "Boxing Day",              "F",  ""
  "en-AU", "WA",   "2012-12-26", "Boxing Day",              "F",  ""
  "en-AU", "VIC",  "2012-12-26", "Boxing Day",              "F",  ""
  "en-AU", "TAS",  "2012-12-26", "Boxing Day",              "F",  ""
  "en-AU", "NT",   "2012-12-26", "Boxing Day",              "F",  ""
  "en-AU", "ACT",  "2012-12-26", "Boxing Day",              "F",  ""

  "en-AU", "",     "2013-01-02", "New Year's Day",          "NF",  ""
  "en-AU", "",     "2013-01-26", "Australia Day",           "NF",  ""
  "en-AU", "TAS",  "2013-02-11", "Royal Hobart Regatta",    "V",  ""
  "en-AU", "WA",   "2013-03-04", "Labour Day",              "V",  ""
  "en-AU", "VIC",  "2013-03-11", "Labour Day",              "V",  ""
  "en-AU", "ACT",  "2013-03-11", "Canberra Day",            "V",  ""
  "en-AU", "TAS",  "2013-03-11", "Eight Hours Day",         "V",  ""
  "en-AU", "",     "2013-03-29", "Good Friday",             "NRV", ""
  "en-AU", "QL",   "2013-03-30", "Easter Saturday",         "RV", ""
  "en-AU", "SA",   "2013-03-30", "Easter Saturday",         "RV", ""
  "en-AU", "NSW",  "2013-03-30", "Easter Saturday",         "RV", ""
  "en-AU", "VIC",  "2013-03-30", "Easter Saturday",         "RV", ""
  "en-AU", "NT",   "2013-03-30", "Easter Saturday",         "RV", ""
  "en-AU", "",     "2013-04-01", "Easter Monday",           "NRV", ""
  "en-AU", "QL",   "2013-04-25", "Anzac Day",               "F",  ""
  "en-AU", "SA",   "2013-04-25", "Anzac Day",               "F",  ""
  "en-AU", "NSW",  "2013-04-25", "Anzac Day",               "F",  ""
  "en-AU", "WA",   "2013-04-25", "Anzac Day",               "F",  ""
  "en-AU", "VIC",  "2013-04-25", "Anzac Day",               "F",  ""
  "en-AU", "TAS",  "2013-04-25", "Anzac Day",               "F",  ""
  "en-AU", "NT",   "2013-04-25", "Anzac Day",               "F",  ""
  "en-AU", "ACT",  "2013-04-25", "Anzac Day",               "F",  ""
  "en-AU", "QL",   "2013-05-06", "Labour Day",              "V",  ""
  "en-AU", "NT",   "2013-05-06", "May Day",                 "V",  ""
  "en-AU", "WA",   "2013-06-03", "Foundation Day",          "V",  ""
  "en-AU", "QL",   "2013-06-10", "Queen's Birthday",        "V",  ""
  "en-AU", "SA",   "2013-06-10", "Queen's Birthday",        "V",  ""
  "en-AU", "NSW",  "2013-06-10", "Queen's Birthday",        "V",  ""
  "en-AU", "VIC",  "2013-06-10", "Queen's Birthday",        "V",  ""
  "en-AU", "TAS",  "2013-06-10", "Queen's Birthday",        "V",  ""
  "en-AU", "NT",   "2013-06-10", "Queen's Birthday",        "V",  ""
  "en-AU", "ACT",  "2013-06-10", "Queen's Birthday",        "V",  ""
  "en-AU", "NT",   "2013-08-05", "Picnic Day",              "V",  ""
  "en-AU", "NSW",  "2013-08-05", "Bank Holiday",            "V",  ""
  "en-AU", "WA",   "2013-09-30", "Queen's Birthday",        "V",  ""
  "en-AU", "SA",   "2013-10-07", "Labour Day",              "V",  ""
  "en-AU", "NSW",  "2013-10-07", "Labour Day",              "V",  ""
  "en-AU", "ACT",  "2013-10-07", "Labour Day",              "V",  ""
  "en-AU", "TAS",  "2013-11-04", "Recreation Day",          "V",  ""
  "en-AU", "",     "2013-12-25", "Christmas Day",           "NRF", ""
  "en-AU", "QL",   "2013-12-26", "Boxing Day",              "F",  ""
  "en-AU", "SA",   "2013-12-26", "Proclamation Day",        "F",  ""
  "en-AU", "NSW",  "2013-12-26", "Boxing Day",              "F",  ""
  "en-AU", "WA",   "2013-12-26", "Boxing Day",              "F",  ""
  "en-AU", "VIC",  "2013-12-26", "Boxing Day",              "F",  ""
  "en-AU", "TAS",  "2013-12-26", "Boxing Day",              "F",  ""
  "en-AU", "NT",   "2013-12-26", "Boxing Day",              "F",  ""
  "en-AU", "ACT",  "2013-12-26", "Boxing Day",              "F",  ""
